id,nome,email,data_nascimento,cpf,telefone,salario,ativo,ultima_compra,categoria_cliente,observacoes
28,Sra. Manuella Lima,henriquerios@example.net,1974-10-19,318.562.047-07,+55 51 9880 0908,13656.62,sim,03/02/2024,diamante,Cum soluta assumenda quaerat laboriosam inventore.
29,Dr. Kevin Lima,jalves@example.org,1985-06-19,961.328.054-51,(081) 0923-8421,5140.18,False,,,
30,Bella Mendes,davi-luccacasa-grande@example.net,1971-06-07,247.193.065-43,(084) 2664 4244,8317.47,não,19/03/2025,ouro,
31,João Lucas Gomes,marcelo08@example.net,1985-11-09,315.607.429-25,+55 (041) 5186 7142,4624.11,sim,31/01/2024,ouro,Eligendi rerum saepe corrupti alias illo.
32,Heloísa Dias,tporto@example.org,1953-06-15,521.876.943-64,,1742.19,False,05/06/2023,diamante,
33,Nina Freitas,ppastor@example.net,1987-03-06,905.342.678-74,+55 21 6315 3786,3105.48,,,diamante,
34,Isabela Rocha,goncalvesvalentina@example.net,1977-05-04,985.671.420-67,+55 (061) 3363-2306,23217.02,True,18/09/2024,,
35,Rafael Brito,diegomendes@example.org,1961-04-26,387.624.095-65,+55 (031) 3698 4073,8321.45,não,21/01/2024,prata,
36,Sra. Raquel Moreira,vda-rosa@example.net,1945-11-17,048.375.169-39,+55 61 9283 6184,17014.72,sim,13/11/2024,ouro,
37,Luiz Fernando Gonçalves,oliveiradaniela@example.com,1953-09-08,704.365.981-75,21 5911 0805,24912.24,não,,ouro,
38,Erick Vasconcelos,tcorreia@example.com,1958-02-24,168.230.475-26,+55 (071) 7237-8894,11947.16,,22/05/2024,bronze,
39,,camarahenry@example.com,1961-08-07,948.736.510-93,+55 51 8944 0698,18763.77,sim,,prata,Sapiente laboriosam nemo adipisci perferendis magni voluptates iste.
40,Lucas Moura,costelalaura@example.org,1955-02-03,241.893.506-05,+55 (011) 8823 8394,14993.18,não,17/10/2023,ouro,
41,Danilo Fogaça,maria-vitoria90@example.org,1987-11-07,726.835.104-62,(031) 2233 7840,7350.44,sim,29/11/2024,bronze,
42,Gabrielly Novais,rlima@example.net,1966-03-25,281.960.475-76,+55 31 8912 6935,7771.76,sim,31/10/2024,prata,Sint sunt accusamus dolores neque harum perferendis.
43,Lorenzo da Rocha,macedobruna@example.com,2003-04-05,150.894.372-97,(021) 9036 4023,18248.75,True,26/04/2024,diamante,Tempore asperiores eligendi mollitia esse corporis sapiente facilis aspernatur.
44,Maria Isis Monteiro,wnovaes@example.net,1961-01-29,761.230.854-17,31 0756 2236,16836.81,False,24/03/2025,ouro,Distinctio similique placeat provident ipsa perspiciatis illo.
45,Dr. Arthur da Mata,olivia70@example.org,1969-03-23,402.769.318-31,(031) 5273-3486,3967.52,,07/09/2023,diamante,
46,Srta. Beatriz da Rocha,monteirovalentina@example.com,2001-02-20,801.567.392-59,0300-220-5743,3315.33,não,01/10/2024,ouro,Ex numquam distinctio cum aperiam cupiditate iusto provident maiores deserunt.
47,José Pedro Melo,imonteiro@example.net,1996-03-09,381.457.096-01,(021) 8784-3515,15252.77,,09/04/2024,bronze,
48,Luiz Gustavo Vieira,sophiamoura@example.com,1995-08-30,506.371.482-07,(081) 5919-7796,14944.85,sim,,diamante,
49,Mariah Guerra,melissa18@example.org,1983-03-30,945.832.760-10,,11151.32,não,10/11/2023,diamante,
50,Olivia Mendonça,ramosluna@example.com,1993-04-19,016.785.423-26,81 5789-6164,21899.3,,13/09/2024,prata,
51,Antônio Cavalcanti,rocharebeca@example.net,1991-09-17,135.782.640-08,+55 41 2748-6656,7247.84,True,18/09/2024,diamante,
52,Guilherme Andrade,pereiraguilherme@example.org,1964-03-28,217.469.053-52,+55 61 9759-7236,7862.74,True,04/07/2024,bronze,
53,Clara Ribeiro,erick65@example.com,1968-04-04,431.078.526-35,+55 (031) 6946-6083,6984.44,True,07/04/2025,prata,
54,Valentim Ribeiro,isabellymontenegro@example.net,1954-05-10,467.023.589-38,+55 21 1855-2054,18695.66,False,10/01/2025,bronze,Laudantium ut quia quas temporibus facilis perferendis.
55,Theo Abreu,limabreno@example.com,1956-08-20,420.175.368-90,84 8315-5077,23515.0,,17/07/2023,prata,Placeat veniam eligendi temporibus excepturi sequi illum aliquam.
56,Vicente Aparecida,dnogueira@example.org,1974-03-31,309.271.654-06,21 8643-3272,17458.75,False,22/03/2024,diamante,Totam beatae aspernatur voluptatibus velit velit dolorum ullam.
57,Clarice Novaes,xsousa@example.org,1987-12-05,265.078.419-94,31 3376-1329,6802.19,sim,,prata,
58,Sr. Leandro Gomes,da-mataandre@example.net,1961-05-18,487.901.635-75,31 0692-4449,4916.21,True,28/09/2024,bronze,
59,Caleb Rezende,casa-grandeester@example.net,1996-10-12,830.741.256-08,0800 480 3479,18791.47,sim,,bronze,
60,Isabella Sales,britoapollo@example.com,1990-03-07,00000000000,+55 21 5723 9889,6423.46,não,,,
61,Enzo Sousa,stellavargas@example.com,2002-08-21,180.247.936-87,71 5166-3956,17763.36,sim,16/11/2023,,Rerum iure culpa cum laudantium nemo.
62,Sr. Yan Rocha,pedrooliveira@example.org,1945-10-16,059.316.247-16,+55 81 7948-7605,3011.55,True,15/10/2023,diamante,Amet voluptates consequatur reiciendis perferendis aliquid repellat totam optio.
63,Davi Lucas da Conceição,jadegomes@example.net,1974-01-03,00000000000,+55 31 0082-8572,10822.65,True,,,Ipsam eveniet at deleniti voluptas minus voluptatem beatae aliquid.
64,Gabriela Carvalho,emilly30@example.org,1970-05-14,978.423.165-46,(071) 6065 6450,23761.73,,,,Saepe pariatur architecto ex velit dolores iusto culpa distinctio vitae.
65,Heloísa Aparecida,luiz-fernandoviana@example.net,1976-10-07,025.697.138-21,21 8233-1618,4539.67,não,13/05/2024,prata,Iusto harum sit doloribus rerum velit ab dolores distinctio corporis.
66,João Pedro Costa,correiaraul@example.com,1999-04-29,896.015.724-49,(061) 7629-6162,8348.27,False,26/04/2025,bronze,
67,Arthur Martins,stephany85@example.net,1983-07-29,801.564.237-07,31 0813-1093,16785.87,False,23/10/2024,bronze,Ut libero nemo earum provident minima veniam fugiat voluptatem sequi maiores.
68,Erick Moura,borgesmaria-sophia@example.org,1988-01-09,703.249.651-25,+55 84 8810-1346,10010.42,True,16/09/2023,,
69,Fernanda Pimenta,marcelo33@example.com,1978-09-22,206.475.891-76,+55 (041) 0523-1858,24845.0,sim,05/02/2024,prata,
70,Enzo Rezende,das-nevesmarcela@example.net,1974-12-16,460.837.259-92,(011) 9690-5397,10950.26,True,02/06/2024,diamante,
71,Ana Lívia da Cunha,jmonteiro@example.org,1977-05-25,732.185.406-07,,17550.38,sim,,bronze,Ut perspiciatis fuga necessitatibus dolorem animi temporibus.
72,Matteo da Costa,sophiacassiano@example.org,1967-02-18,864.795.012-76,+55 11 4976-4879,5462.69,False,09/08/2024,ouro,Recusandae fugit debitis tempore illo in.
73,Letícia Ferreira,noah02@example.net,1986-10-22,913.240.786-69,51 9211 7166,21720.73,False,25/11/2023,,
74,Dom Sales,nrezende@example.com,1982-03-20,654.703.918-84,0500 520 8475,4542.63,False,20/10/2023,prata,
75,Srta. Joana Fonseca,rodriguesmaite@example.com,1971-11-16,791.345.026-61,,16985.16,sim,07/02/2025,bronze,Temporibus ad rem aperiam vitae rerum enim expedita.
76,Dr. João Miguel Vargas,isabelly84@example.com,1963-11-26,375.421.980-41,,7140.69,True,13/10/2023,,Dolor tempora reprehenderit perspiciatis laboriosam dolor.
77,Maria Vitória Alves,vitoria26@example.org,1989-06-26,482.901.576-49,+55 (061) 1140-5836,16347.58,True,23/05/2024,,Perferendis officiis occaecati quisquam nostrum neque possimus ex adipisci suscipit.
78,Ian Porto,maria-flor75@example.net,1997-07-23,038.294.176-40,84 8780 2128,14670.59,sim,08/03/2024,ouro,Alias cupiditate similique ducimus molestiae cum repudiandae.
79,Júlia Viana,uda-costa@example.com,1950-06-04,154.693.028-06,31 3341 4677,24963.39,,,diamante,
80,Allana Silva,pedro-henrique34@example.com,1949-05-08,567.043.912-07,0900 433 1916,4514.52,True,17/04/2025,,Omnis neque fuga in vitae reprehenderit natus.
81,Dra. Olivia Barros,hadassa39@example.net,2004-10-22,359.184.206-06,+55 (061) 5133-4968,21351.19,,13/06/2023,diamante,
82,Benício da Rocha,goncalvesravy@example.net,1961-03-09,845.032.179-41,+55 21 8935-2532,13917.8,True,30/05/2024,prata,
83,Melina Caldeira,alexia90@example.com,1960-01-15,082.936.745-47,+55 (071) 6049-1354,16834.03,sim,14/06/2023,prata,
84,Sr. Henry Gabriel Vieira,bernardomoraes@example.net,1989-12-25,105.689.743-01,31 4890 8301,12496.3,True,03/11/2024,,
85,Cecília da Cunha,ana-clarateixeira@example.net,1944-09-17,091.248.635-05,,8893.35,não,08/04/2024,bronze,Reprehenderit ex illum aspernatur sapiente numquam.
86,Sra. Olivia Pinto,cassianovitoria@example.org,1952-05-27,856.374.091-10,0300 366 8954,10886.39,sim,20/11/2023,bronze,
87,Kevin Camargo,luanada-cunha@example.net,1997-08-12,794.180.652-58,+55 (021) 0867 2593,11424.33,sim,09/03/2024,prata,
88,Vicente Albuquerque,gabrielly16@example.net,2005-06-13,698.327.501-21,+55 81 0420 7744,23072.34,True,16/01/2024,prata,
89,Davi Lucca Vargas,ialbuquerque@example.net,1977-08-12,256.839.174-09,+55 (041) 9231 9776,1384.87,não,11/08/2023,diamante,Modi voluptas fuga aspernatur laboriosam.
90,Ayla da Rosa,campospedro@example.com,1989-11-04,921.807.634-50,+55 (051) 4590-3179,,False,05/08/2024,prata,Incidunt hic quis aut id earum iste hic accusamus.
91,Isabelly Vasconcelos,novaisgustavo@example.org,1971-01-01,024.638.975-38,+55 61 7534 3693,16917.13,,30/04/2024,prata,
92,Ravi Lucca Moraes,ccampos@example.org,1951-07-31,684.792.135-82,(021) 1990-4169,22765.25,,06/10/2023,ouro,Odio id exercitationem rem assumenda.
93,Maria Luísa Machado,pereiravinicius@example.net,1969-07-18,027.943.581-97,+55 84 6613 2500,5239.93,,05/06/2023,prata,
94,Joana Barros,vitoriamendonca@example.com,1952-06-06,407.816.592-30,51 7107 9110,11167.96,True,30/12/2023,,Minus recusandae natus in explicabo excepturi nobis debitis amet ipsa.
95,Dra. Valentina Andrade,eduardo71@example.org,1944-05-31,413.807.625-53,(051) 7273-5353,22257.57,sim,10/06/2023,diamante,
96,Dr. Nicolas Castro,sampaioantonella@example.org,1962-12-17,098.316.754-01,71 9575-5048,19824.24,não,06/05/2025,bronze,
97,Nathan Aparecida,pietra85@example.com,2003-10-08,054.628.317-90,(041) 4223 1930,16099.3,sim,28/04/2025,,
98,Sra. Antonella Novaes,siqueirahenry-gabriel@example.net,1976-11-30,00000000000,(061) 0973-0244,15960.19,sim,24/01/2024,,Quo aut natus molestiae dolor adipisci est ullam.
99,Ana Lívia Correia,maite31@example.com,1959-09-28,578.320.164-26,,10425.96,não,02/03/2024,prata,
100,Sr. Felipe Montenegro,erios@example.com,1957-09-17,783.049.615-39,+55 41 2848 2920,7473.32,,29/08/2024,prata,Ea in voluptatibus dolor rem mollitia asperiores possimus facere.
101,,,1979-08-06,845.013.962-70,+55 21 1118 6259,13120.34,,16/08/2023,prata,
102,Joana Farias,xgoncalves@example.com,1973-11-21,569.240.138-05,(084) 4887-6711,18110.94,não,,bronze,Placeat reiciendis quisquam temporibus ratione sit nihil nobis voluptatibus beatae.
103,Nina da Costa,stephanycorreia@example.net,1997-12-18,589.042.137-97,41 4501 2445,23427.74,False,11/06/2023,bronze,
104,Hadassa Andrade,xnovais@example.net,1992-08-16,564.312.987-64,,9208.51,sim,19/05/2024,prata,At ipsa omnis illum iste animi et voluptates alias sed earum.
105,Hadassa Novaes,kevinbrito@example.com,1994-09-01,548.961.032-89,0800 118 7924,22965.22,,11/08/2024,,Voluptates dolor nisi itaque dolorem.
106,Dra. Gabriela Vasconcelos,oliviaribeiro@example.net,1964-10-30,718.934.056-48,+55 21 7185-3502,6624.78,True,06/10/2024,diamante,Esse eum fugit error vel laborum.
107,Dra. Cecilia da Conceição,gcardoso@example.net,1958-11-10,235.487.610-62,+55 (084) 1270-8828,20022.45,True,31/05/2024,ouro,
108,Natália Carvalho,davi-miguel83@example.com,1968-08-16,308.972.546-00,(041) 6441 8387,23381.45,sim,,,
109,Sra. Ana Liz Fogaça,melojulia@example.net,1997-11-26,962.017.483-69,21 6849 2675,11358.75,False,01/11/2024,ouro,
110,Maria Moraes,costajoao-vitor@example.net,2007-03-26,219.346.780-31,(011) 2965-7425,22810.44,False,01/05/2025,bronze,
111,Dra. Bianca Sales,casa-grandeleo@example.net,1998-12-20,952.473.081-23,+55 81 0375-8570,6387.45,False,17/12/2024,,Autem ut eum beatae debitis quos ea dignissimos.
112,Otávio das Neves,brunomontenegro@example.org,1978-04-02,392.876.410-13,,6747.62,,31/05/2024,diamante,Nesciunt sint illum pariatur voluptates distinctio sint eos deleniti.
113,Otto Duarte,lmachado@example.net,1981-12-04,469.783.201-96,+55 (081) 9781 4802,21809.74,,27/10/2023,bronze,
114,Allana Cavalcanti,ayllapereira@example.org,2000-12-23,587.302.469-38,(021) 5445 3149,8389.88,não,,diamante,
115,Sr. Luiz Gustavo Vargas,juliaborges@example.net,1965-05-17,091.423.568-06,31 8723 2225,22897.88,False,07/07/2023,prata,
116,Alana Gomes,cirinooliver@example.com,1986-10-29,206.781.945-30,+55 71 9896 1781,9568.32,True,29/05/2023,,
117,Sra. Marcela da Mota,nascimentodavi-luiz@example.com,1983-07-08,850.217.934-97,(051) 5164 3122,1520.14,True,,,
118,Agatha Vasconcelos,enzo-gabriel23@example.com,1963-07-27,968.012.573-40,+55 11 0900 0098,16798.42,,13/06/2023,bronze,
119,Thales Leão,ceciliapastor@example.net,1966-02-12,312.460.875-53,21 2793 1357,16065.01,,04/02/2025,prata,
120,José Miguel Monteiro,riosmilena@example.org,1978-11-24,436.087.591-66,31 3010 0640,19266.92,,10/04/2024,,Soluta doloremque laboriosam iste ipsa eveniet.
121,Marcelo Martins,camilamartins@example.org,1984-11-20,038.146.572-17,+55 51 9763 1171,8154.29,não,,diamante,Blanditiis itaque omnis dolore nihil neque voluptate nostrum aut.
122,Dr. Vinicius Nunes,helena96@example.net,1977-11-08,206.741.358-90,(051) 7008 9850,23773.75,,06/03/2024,,
123,Manuella Barros,qmoraes@example.net,1944-10-30,827.605.319-02,0800 714 4046,11394.34,True,14/12/2024,ouro,
124,Heloisa Silveira,ceciliacampos@example.com,1955-07-09,684.521.703-35,,,sim,06/02/2025,,Eius illo earum ut tempore expedita tempore facilis quibusdam.
125,Arthur Fernandes,isabelateixeira@example.net,1966-05-06,265.094.837-00,(011) 5210 0488,14393.25,sim,15/04/2025,bronze,
126,Maria Flor Campos,frios@example.net,1972-12-14,451.876.092-11,(084) 8701-7010,10533.22,True,25/01/2024,diamante,
127,Benjamin Cunha,mateus17@example.net,1987-06-20,00000000000,(071) 6344 5501,21636.61,,26/12/2023,diamante,Quo rem dolores quasi mollitia dignissimos molestias nemo.
128,Lucas Gabriel Costa,alice32@example.org,1974-10-01,914.285.063-06,,20671.81,True,24/02/2025,diamante,
129,Isabel Cavalcanti,giovanna97@example.com,1947-01-28,329.481.506-98,0500 604 4925,4294.79,,28/03/2024,prata,
130,Matheus Machado,jose-pedrofernandes@example.org,2001-08-31,315.947.068-75,+55 51 3782 3260,7956.77,sim,16/01/2024,,Magnam excepturi reprehenderit distinctio nesciunt.
131,Vinicius da Mata,npires@example.org,1959-12-12,00000000000,,21511.59,True,20/09/2023,bronze,Totam alias rem incidunt voluptatem exercitationem rem.
132,Daniel Casa Grande,garcialiam@example.net,1950-04-23,159.403.286-60,(071) 8945-4287,23251.51,False,24/05/2023,bronze,Magnam officiis sed eaque neque eos.
133,Bianca Andrade,fonsecamarcos-vinicius@example.com,1956-03-16,902.876.531-02,+55 21 0270-2445,7236.77,sim,30/07/2023,prata,Delectus nostrum ducimus quibusdam.
134,Felipe Nunes,cfernandes@example.net,1982-07-26,273.689.105-86,84 6126 3294,8725.98,não,07/08/2023,ouro,Fuga error possimus doloremque ea.
135,Marcela Fonseca,mirella62@example.net,1969-09-25,350.672.418-53,+55 31 7198-4848,23356.25,,15/09/2023,diamante,Ipsum laboriosam totam corrupti minus perferendis ipsam.
136,Ravy Ramos,valentimda-cunha@example.com,1994-05-04,450.961.783-66,+55 (084) 6970 5305,3286.54,False,28/07/2024,bronze,Deserunt accusantium placeat impedit nihil.
137,Luana Lima,thiago54@example.org,1981-08-26,831.504.296-33,31 2245 3412,17818.45,False,07/01/2024,,
138,Zoe Pimenta,lsousa@example.org,1957-09-08,204.615.398-70,+55 (061) 9975-4129,11302.19,,,diamante,Veniam aliquam veniam necessitatibus quod.
139,Sr. Cauã Rodrigues,pedro64@example.net,1961-08-25,271.680.935-68,+55 21 9583-9564,10350.96,,,bronze,
140,Marcos Vinicius Nunes,maria32@example.net,1979-01-19,694.351.278-19,+55 51 1200 9572,14993.52,,07/11/2024,prata,
141,Olivia Correia,ferreirakaique@example.net,1985-10-28,157.096.234-07,(021) 1481 9876,10431.59,True,09/12/2023,bronze,
142,Pedro Cardoso,aragaolais@example.org,1983-01-13,00000000000,+55 (061) 0511-3544,13824.72,False,04/06/2024,bronze,Eius provident natus fugit dicta ipsa cum.
143,Dra. Caroline Viana,giovanna64@example.org,1982-09-28,103.576.928-02,0800-885-6406,7788.73,,11/12/2023,diamante,Facere dolorum facilis et excepturi sunt sit illo.
144,Eduardo Vasconcelos,pietra98@example.org,2003-05-07,728.543.019-60,,24352.78,não,29/11/2024,diamante,
145,Ana Luiza Oliveira,das-nevesrhavi@example.com,1950-04-11,092.756.834-92,(041) 6648-1077,8772.95,não,14/06/2024,bronze,
146,Dr. Yan Nascimento,beatriz04@example.net,1968-05-30,648.307.925-74,+55 31 0208-4339,19259.65,True,,,
147,Sarah Camargo,gomesnoah@example.net,1966-02-10,589.036.724-29,0800 918 1511,17659.4,não,10/04/2025,ouro,
148,Pedro Miguel Duarte,noah47@example.net,2007-04-25,283.570.914-23,71 9627-7013,,,06/07/2023,ouro,Explicabo aspernatur itaque quo saepe maiores facere nostrum.
149,Caroline Peixoto,vitor-hugo03@example.org,1981-11-12,00000000000,(021) 2215 3623,5113.17,,15/02/2025,prata,Nulla soluta eaque dolorum aliquam est quas earum labore.
150,Davi Luiz Abreu,maria-helena23@example.net,2002-08-16,903.857.146-10,,19974.27,False,19/10/2023,,
151,Danilo Andrade,gsilva@example.com,1983-10-05,695.748.031-39,+55 (051) 7423 8730,8023.12,sim,27/11/2023,ouro,
152,Vicente Pastor,anapinto@example.org,1951-05-20,425.169.830-42,,15679.48,False,23/09/2024,bronze,
153,Nicole Gonçalves,da-rochanicole@example.com,1996-06-10,796.124.358-55,+55 (031) 4675-2235,13785.36,sim,07/02/2024,prata,Quia dignissimos quas necessitatibus nisi ipsam repudiandae fugit voluptates.
154,Catarina Viana,joaquimda-conceicao@example.net,1947-10-25,016.548.397-01,+55 (041) 8716-8687,14232.64,,12/01/2025,bronze,Nam voluptas ipsam exercitationem quo.
155,Marcela Jesus,tda-mota@example.net,1995-12-17,409.862.751-58,,24885.59,,21/09/2023,,Aperiam hic explicabo laboriosam sunt.
156,Thales Vieira,isissa@example.com,1969-07-11,784.520.396-38,0800 927 5860,1999.55,True,15/03/2024,ouro,Expedita eligendi nisi dolorem aspernatur distinctio dolores deserunt repellat.
157,Srta. Helena da Mota,britoalexia@example.com,1968-10-09,129.750.648-02,51 7672 0634,3867.06,sim,,bronze,Nam soluta nemo iusto consectetur facilis.
158,Emanuella Cunha,eloa39@example.net,1975-06-25,182.475.093-50,0800-204-3714,4884.01,não,,,
159,Rafael Rodrigues,leonardoteixeira@example.com,1948-11-26,963.854.201-24,21 3923 6508,19096.73,True,19/12/2024,ouro,Sapiente eligendi numquam voluptatem itaque amet hic nostrum.
160,Dr. Davi Luiz Almeida,cauecavalcanti@example.net,1990-11-19,812.073.564-17,51 3949 9157,17758.56,False,13/09/2024,bronze,
161,Sr. Théo Mendes,isis27@example.org,1994-03-15,916.527.043-61,0300-281-5704,1673.41,False,15/10/2024,ouro,
162,Dra. Ana Lívia Montenegro,labreu@example.org,1999-10-05,418.209.675-49,(031) 4246 5300,12650.08,False,27/05/2023,ouro,
163,Milena Almeida,enzo-gabrielda-cunha@example.org,1997-03-13,547.238.169-09,(031) 5807 6451,22034.3,sim,04/11/2024,,
164,Ana Beatriz Azevedo,luiz-otavio62@example.com,1950-10-21,084.597.261-85,+55 84 3079-7824,21239.89,False,15/06/2024,prata,
165,Heloísa Ramos,leo50@example.org,2005-09-14,498.306.125-89,+55 (031) 1986 4033,23169.11,True,30/03/2024,prata,
166,Laís Fonseca,vcampos@example.com,1950-08-30,506.274.139-43,71 8255 9550,24496.81,False,11/05/2025,diamante,
167,Rael Monteiro,felipeaparecida@example.com,1974-12-22,256.173.498-64,+55 (071) 2166 9624,7947.58,,17/08/2023,,Sit iste magnam consequuntur modi dolorum provident cupiditate sed.
168,Larissa Sá,gustavo23@example.org,1990-06-21,187.549.632-73,+55 81 4449-3244,21029.25,sim,17/12/2023,bronze,Praesentium unde magnam dolores quibusdam dignissimos numquam ipsam possimus.
169,Alexandre Rocha,nascimentoandre@example.com,1955-02-04,675.829.134-00,+55 11 7831 3052,8792.43,sim,05/07/2023,bronze,Nobis magni voluptatibus voluptatum sequi.
170,Yuri Lima,lizmacedo@example.com,2000-05-18,168.027.493-78,(051) 3339 6466,2828.99,não,,bronze,Eos voluptatem rerum minima ullam distinctio fuga exercitationem laudantium ducimus.
171,Liam Sousa,maria28@example.org,2003-09-13,00000000000,(031) 8659 4528,3653.52,não,,ouro,
172,Ágatha Silveira,abreualexandre@example.org,1993-11-04,514.238.709-05,+55 (084) 6255-1015,,,30/10/2023,ouro,
173,Srta. Isabela Moreira,yasminandrade@example.org,1968-03-19,457.962.038-00,21 5020-0076,4185.35,sim,16/12/2024,,
174,Breno Vieira,ayllasales@example.com,1978-11-28,802.157.364-35,,8397.61,,14/06/2023,prata,
175,Bianca Garcia,milena73@example.net,1976-11-17,782.914.563-64,,8674.05,,,ouro,
176,Elisa Viana,leaoana-carolina@example.net,1968-02-25,421.873.059-88,0800-123-6911,24855.98,False,,ouro,
177,Heitor Siqueira,grios@example.com,1966-12-16,329.061.458-15,+55 (041) 2327 0795,8683.22,,19/06/2023,bronze,
178,Luísa Nogueira,nda-costa@example.com,1976-06-20,720.896.154-94,(081) 1565 4848,22739.44,True,12/11/2024,prata,
179,Ryan Machado,da-rochahenry@example.org,1950-01-02,831.742.609-22,11 8220-7318,9561.11,não,18/09/2024,,
180,João Felipe Jesus,oliveiralavinia@example.org,1981-03-11,102.739.856-12,(071) 9375-8855,10313.37,False,21/11/2023,,Possimus inventore cum labore minima alias saepe fugiat nobis.
181,Lavínia Gomes,ksampaio@example.com,2000-09-07,082.935.417-41,+55 (071) 7739 4448,7874.4,sim,17/10/2023,ouro,Quae eum alias aliquid culpa necessitatibus magnam.
182,Maria Lima,diasgael-henrique@example.net,1948-06-28,208.517.936-30,+55 (011) 7453-1140,9979.13,True,23/04/2024,prata,
183,Maria Sophia Santos,maria-isismoraes@example.org,1952-08-15,567.420.893-00,,9860.99,,09/08/2024,diamante,
184,Gabriel Moura,oda-luz@example.org,1959-02-17,205.984.617-01,+55 84 2649-8618,20091.91,False,12/10/2024,diamante,
185,João Gabriel Macedo,cunhamaysa@example.org,1990-11-19,438.021.965-89,0900 427 1841,2781.88,,13/05/2024,prata,Nisi voluptates ad accusantium nulla ipsam in ducimus perferendis debitis.
186,Brayan Castro,diasvitor@example.com,1967-09-13,975.012.468-58,+55 21 0302 2529,22617.14,não,10/02/2024,diamante,
187,Raul Barros,stephany46@example.org,2000-12-20,405.869.237-56,81 0152-8438,11368.64,sim,,ouro,Laborum deserunt molestiae magni quam dolor.
